interjection[key],positive,negative,sis,sentiment,replace-during-tokenize[flag]
hey presto,0,0,0,0,1
hey rube,0,0,0,0,1
heya,0,0,0,0,1
heyday,0,0,0,0,1
hi,0,0,0,0,1
hi there,0,0,0,0,1
hic,0,0,0,0,1
hip,0,0,0,0,1
hip hip hooray,0,0,0,0,1
hist,0,0,0,0,1
hiya,0,0,0,0,1
hm,0,0,0,0,1
h'm,0,0,0,0,1
hmm,0,0,0,0,1
hmmm,0,0,0,0,1
hmph,0,0,0,0,1
ho hum,0,0,0,0,1
ho-hum,0,0,0,0,1
hola,0,0,0,0,1
hold it,0,0,0,0,1
hold the phone,0,0,0,0,1
holla,0,0,0,0,1
holy cow,0,0,0,0,1
holy crap,0,1,0,0,1
holy crap on a cracker,0,0,0,0,1
holy moley,0,1,0,0,1
holy moly,0,1,0,0,1
holy smoke,0,1,0,0,1
honk,0,0,0,0,1
hoo,0,0,0,0,1
hoo man,0,0,0,0,1
hooah,0,0,0,0,1
hoocoodanode,0,0,0,0,1
hoorah,1,0,0,0,1
hooray,1,0,0,0,1
hooroo,0,0,0,0,1
hoowee,0,0,0,0,1
hop it,0,0,0,0,1
horse hockey,0,0,0,0,1
horsefeathers,0,0,0,0,1
hosanna,0,0,0,0,1
hot damn,0,0,0,0,1
hot diggety,0,0,0,0,1
hot diggety dog,0,0,0,0,1
hot dog,0,0,0,0,1
hot tamale,1,0,0,0,1
howay,0,0,0,0,1
howdy,0,0,0,0,1
howzat,0,0,0,0,1
hoy,0,0,0,0,1
hrm,0,0,0,0,1
hubba hubba,0,0,0,0,1
huh,0,0,0,0,1
hullo,0,0,0,0,1
humbug,0,0,0,0,1
humph,0,0,0,0,1
hup,0,0,0,0,1
hurrah,1,0,0,0,1
hurray,1,0,0,0,1
hush,0,0,0,0,1
hushaby,0,0,0,0,1
hushabye,0,0,0,0,1
huzza,0,0,0,0,1
huzzah,0,0,0,0,1
I should coco,0,0,0,0,1
I should cocoa,0,0,0,0,1
ick,0,0,0,0,1
ikr,0,0,0,0,1
I'll drink to that,0,0,0,0,1
in-fucking-credible,0,1,0,0,1
inshallah,0,0,0,0,1
ish,0,0,0,0,1
itshay,0,0,0,0,1
iunno,0,0,0,0,1
j'adoube,0,0,0,0,1
jagoff,0,0,0,0,1
janey mack,0,0,0,0,1
jeah,0,0,0,0,1
jeebus,0,0,0,0,1
jeepers,0,1,0,0,1
jeepers creepers,0,1,0,0,1
jeet,0,0,0,0,1
jeez,0,0,0,0,1
jesum crow,0,0,0,0,1
jesus h. christ,0,1,0,0,1
jinkies,0,0,0,0,1
jumping jesus,0,0,0,0,1
kabish,0,0,0,0,1
kablam,0,0,0,0,1
kaboom,0,0,0,0,1
ka-ching,0,0,0,0,1
kapow,0,0,0,0,1
kapwing,0,0,0,0,1
keek,0,0,0,0,1
keep it real,0,0,0,0,1
kerblam,0,0,0,0,1
kerching,0,0,0,0,1
kerchoo,0,0,0,0,1
kerplunk,0,0,0,0,1
kerpow,0,0,0,0,1
kilroy was here,0,0,0,0,1
knock knock,0,0,0,0,1
kthxbye,0,0,0,0,1
la-di-da,0,0,0,0,1
lah-de-dah,0,0,0,0,1
lah-di-dah,0,0,0,0,1
land ahoy,0,0,0,0,1
lawks,0,0,0,0,1
lest we forget,0,0,0,0,1
likee,0,0,0,0,1
lo and behold,0,0,0,0,1
lolz,0,0,1,0,1
long story short,0,0,0,0,1
long time no hear,0,0,0,0,1
long time no see,0,0,0,0,1
look you,0,0,0,0,1
lookit,0,0,0,0,1
lord love a duck,0,0,0,0,1
lots of love,1,0,0,0,1
lovely jubbly,0,0,0,0,1
lucky you,0,0,0,0,1
maa,0,0,0,0,1
