poslist[key],profane,profane-when-combined,unsafe,unsafe-when-combined,entity,negation
cherrie/NN popper/NN,1.8,0,0,0,0,0
cherrie-popper/NN,1.8,0,0,0,0,0
cherry/NN popper/NN,1.8,0,0,0,0,0
cherry-popper/NN,1.8,0,0,0,0,0
chicano/NN lesbian/NN,1.8,0,0,0,0,0
chick/NN,0,0,0,0.5,0,0
chink/NN,1.4,0,0,0,0,0
chippendales/NNS,0,0,0.5,0,0,0
chiquita/NN,1.1,0,0,0,0,0
chix/NN with/IN dicks/NNS,1.8,0,0,0,0,0
chix/NN with/IN dix/NN,1.8,0,0,0,0,0
chlamydia/NN,0,0,1.1,0,0,0
chocke/VB SBJ$ chicken/NN,1.5,0,0,0,0,0
chocolate/NN booty/NN,1.7,0,0,0,0,0
chubby/NN,0,0.35,0,0,0,0
churd/NN,1.1,0,0,0,0,0
circle/NN jerk/NN,1.1,0,0,0,0,0
clam/NN,0,0.35,0,0,0,0
classical/JJ bondage/NN,0,0,1.6,0,0,0
clevland/JJ steamer/NN,1.5,0,0,0,0,0
clit/NN,1.4,0,0,0,0,0
clit/NN stimulation/NN,0,0,1.7,0,0,0
clit/NN stimulator/NN,0,0,1.7,0,0,0
clitoral/JJ,0,0,1.7,0,0,0
clitorilingus/NN,0,0,1.2,0,0,0
clitoris/NN,0,0,1.1,0,0,0
clits/NNS,1.4,0,0,0,0,0
clitty/JJ,1.3,0,0,0,0,0
closeup/NN anal/NN,1.6,0,0,0,0,0
club/NN seventeen/CD,0,0,1.7,0,0,0
club/NN tranny/NN,1.8,0,0,0,0,0
cobia/NN,0,0.35,0,0,0,0
cock/NN,1.3,0,0,0,0,0
cock/NN sucker/NN,1.2,0,0,0,0,0
cockage/NN,1.3,0,0,0,0,0
cocks/NNS in/IN every/DT hole/NN,1.8,0,0,0,0,0
cocksmoker/NN,1.3,0,0,0,0,0
cock-smoker/NN,1.3,0,0,0,0,0
cock-stuffing/NN,1.5,0,0,0,0,0
cocksuck/NN,1.3,0,0,0,0,0
cock-suck/NN,1.3,0,0,0,0,0
cocksucker/NN,1.2,0,0,0,0,0
coital/NN,0,0,1.2,0,0,0
coital/NN therapy/NN,1.5,0,0,0,0,0
coitus/NN,0,0,1.1,0,0,0
color/NN climax/NN,1.8,0,0,0,0,0
come/VB on/IN SBJ,1.8,0,0,0,0,0
come/VB on/IN SBJ$,1.8,0,0,0,0,0
contains/VBZ nudity/NN,0,0,1.3,0,0,0
coon/NN,1.25,0,0,0,0,0
cooter/NN,0,0.5,0,0,0,0
copulate/NN,0,0,0.5,0,0,0
copulation/NN,0,0,0.5,0,0,0
corn/NN hole/NN,1.4,0,0,0,0,0
cornhole/NN,1.1,0,0,0,0,0
cracker/NN,1.4,0,0,0,0,0
crap/NN,1.4,0,0,0,0,0
crotch/NN,0,0.5,0,0,0,0
cuffs/NNS,0,0.35,0,0,0,0
cum/NN,1.8,0,0,0,0,0
cum/NN quat/NN,1.4,0,0,0,0,0
cum/NN stain/NN,1.4,0,0,0,0,0
cum-covered/JJ,1.7,0,0,0,0,0
cumdrinking/NN,1.8,0,0,0,0,0
cumiest/NN,1.6,0,0,0,0,0
cumload/NN,1.8,0,0,0,0,0
cumming/NN,1.8,0,0,0,0,0
cumming/NN swallow/NN,1.5,0,0,0,0,0
cumn/NN,1.4,0,0,0,0,0
cums/NNS,1.2,0,0,0,0,0
cumshot/NN,1.8,0,0,0,0,0
cum-shot/NN,1.8,0,0,0,0,0
cumshots/NNS,1.5,0,0,0,0,0
cunilingus/NN,1.2,0,0,0,0,0
cunnilingus/NN,1.2,0,0,0,0,0
cunt/NN,1.4,0,0,0,0,0
cunt/NN drip/NN,1.7,0,0,0,0,0
cunt/NN leak/NN,1.7,0,0,0,0,0
cunt/NN lick/NN,1.4,0,0,0,0,0
cunt/NN lip/NN,1.4,0,0,0,0,0
cunt/NN lips/NNS,1.6,0,0,0,0,0
cunt/NN open/JJ wide/JJ,1.8,0,0,0,0,0
cunt/NN pump/NN,1.6,0,0,0,0,0
cunt/NN rip/VB,1.7,0,0,0,0,0
cunt/NN ripper/NN,1.7,0,0,0,0,0
cuntal/JJ,1.1,0,0,0,0,0
cuntbreath/NN,1.4,0,0,0,0,0
cuntdog/NN,1.4,0,0,0,0,0
cuntlap/NN,1.4,0,0,0,0,0
cuntlick/NN,1.5,0,0,0,0,0
cuntlip/NN,1.8,0,0,0,0,0
cunts/NNS,1.1,0,0,0,0,0
cuntsucker/NN,1.4,0,0,0,0,0
cyberage/NN,0,0,1.8,0,0,0
cybererotica/NN,0,0,1.8,0,0,0
cyberfold/NN,1.1,0,0,0,0,0
cyberfuc/NN,1.1,0,0,0,0,0
cyberphuck/NN,1.1,0,0,0,0,0
cyberphuk/NN,1.1,0,0,0,0,0
cyberphuq/NN,1.1,0,0,0,0,0
cyberporn/NN,0,0,1.1,0,0,0
cybersex/NN,0,0,1.1,0,0,0
dag/NN gummit/NN,1.4,0,0,0,0,0
dagnammit/NN,1.4,0,0,0,0,0
dailyporn/NN,0,0,1.6,0,0,0
dammit/NN,1.4,0,0,0,0,0
dammit/NN to/TO hell/NN,1.4,0,0,0,0,0
damn/RB,1.4,0,0,0,0,0
damn/RB SBJ,1.4,0,0,0,0,0
damn/RB SBJ$ eyes/NNS,1.4,0,0,0,0,0
damn/RB straight/JJ,1.1,0,0,0,0,0
damn/UH SBJ$ hide/VB,1.4,0,0,0,0,0
damnit/NN,1.4,0,0,0,0,0
damnmit/NN,1.4,0,0,0,0,0
daughter/NN fucks/NNS,1.6,0,0,0,0,0
debutants/NNS,0,0.5,0,0,0,0
deep/JJ fucked/JJ,1.6,0,0,0,0,0
